"","subject","experiment","time","wheel","wheelabs","wheelpos","absdist","absspeed","posdist","posspeed","bothdist","dirspeed","absspeedf","posspeedf","dirspeedf"
"1822","Sample","Hab",182200,1,1,1,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.331201171875,0,0
"1824","Sample","Hab",182400,-1,1,0,0.066240234375,0.331201171875,0,0,-0.066240234375,-0.331201171875,0.331201171875,0,0
"1826","Sample","Hab",182600,2,2,2,0.13248046875,0.66240234375,0.13248046875,0.66240234375,0.13248046875,0.66240234375,0.331201171875,0.331201171875,0.331201171875
"1828","Sample","Hab",182800,-1,1,0,0.066240234375,0.331201171875,0,0,-0.066240234375,-0.331201171875,0.331201171875,0,-0.331201171875
"1830","Sample","Hab",183000,2,2,2,0.13248046875,0.66240234375,0.13248046875,0.66240234375,0.13248046875,0.66240234375,0.331201171875,0,0
"1832","Sample","Hab",183200,-1,1,0,0.066240234375,0.331201171875,0,0,-0.066240234375,-0.331201171875,0.331201171875,0,-0.331201171875
"1834","Sample","Hab",183400,0,0,0,0,0,0,0,0,0,0.331201171875,0,0
"1836","Sample","Hab",183600,-1,1,0,0.066240234375,0.331201171875,0,0,-0.066240234375,-0.331201171875,0,0,0
"1838","Sample","Hab",183800,0,0,0,0,0,0,0,0,0,0,0,0
"1840","Sample","Hab",184000,0,0,0,0,0,0,0,0,0,0,0,0
"1842","Sample","Hab",184200,0,0,0,0,0,0,0,0,0,0,0,0
"1844","Sample","Hab",184400,0,0,0,0,0,0,0,0,0,0,0,0
"1846","Sample","Hab",184600,0,0,0,0,0,0,0,0,0,0,0,0
"1848","Sample","Hab",184800,0,0,0,0,0,0,0,0,0,0,0,0
"1850","Sample","Hab",185000,1,1,1,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0,0,0
"1852","Sample","Hab",185200,0,0,0,0,0,0,0,0,0,0.331201171875,0,0
"1854","Sample","Hab",185400,-1,1,0,0.066240234375,0.331201171875,0,0,-0.066240234375,-0.331201171875,0.331201171875,0,0
"1856","Sample","Hab",185600,1,1,1,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.331201171875,0,-0.331201171875
"1858","Sample","Hab",185800,-1,1,0,0.066240234375,0.331201171875,0,0,-0.066240234375,-0.331201171875,0.331201171875,0,-0.331201171875
"1860","Sample","Hab",186000,-1,1,0,0.066240234375,0.331201171875,0,0,-0.066240234375,-0.331201171875,0.331201171875,0,0
"1862","Sample","Hab",186200,0,0,0,0,0,0,0,0,0,0.331201171875,0,0
"1864","Sample","Hab",186400,1,1,1,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0,0,0
"1866","Sample","Hab",186600,0,0,0,0,0,0,0,0,0,0,0,0
"1868","Sample","Hab",186800,0,0,0,0,0,0,0,0,0,0,0,0
"1870","Sample","Hab",187000,0,0,0,0,0,0,0,0,0,0,0,0
"1872","Sample","Hab",187200,0,0,0,0,0,0,0,0,0,0,0,0
"1874","Sample","Hab",187400,0,0,0,0,0,0,0,0,0,0,0,0
"1876","Sample","Hab",187600,0,0,0,0,0,0,0,0,0,0,0,0
"1878","Sample","Hab",187800,0,0,0,0,0,0,0,0,0,0,0,0
"1880","Sample","Hab",188000,0,0,0,0,0,0,0,0,0,0,0,0
"1882","Sample","Hab",188200,0,0,0,0,0,0,0,0,0,0,0,0
"1884","Sample","Hab",188400,0,0,0,0,0,0,0,0,0,0,0,0
"1886","Sample","Hab",188600,0,0,0,0,0,0,0,0,0,0,0,0
"1888","Sample","Hab",188800,0,0,0,0,0,0,0,0,0,0,0,0
